"","logFC","logCPM","LR","PValue","FDR"
"hsa-miR-450b-5p",-2.44816566990271,3.64141211936601,14.8499244121278,0.000116412735121704,0.000585701573581072
"hsa-let-7c-5p",0.700804668548194,9.60190281773549,14.805564178364,0.00011918332860954,0.000594992741275534
"hsa-miR-22-5p",1.03387499327079,5.92386528591078,14.4478298681017,0.000144095790959012,0.000713828379827723
"hsa-miR-146a-5p",-0.589388469351134,13.9634193879414,14.3092746682948,0.000155098827227567,0.000762470570492772
"hsa-miR-153-5p",-5.30377539416992,2.59993485276961,14.1386921248904,0.000169814745684339,0.000828490122884201
"hsa-miR-99b-5p",-2.70852750410848,3.50150002434996,14.0402674528552,0.000178937492192838,0.000866434172723217
"hsa-miR-1236-5p",4.73914594042066,1.81846017781385,14.0032550654651,0.000182494430116582,0.000877062783545365
"hsa-miR-3689a-3p",-3.47084474148501,3.01479467995515,13.6099713271381,0.000224987325611201,0.00107327287180454
"hsa-miR-106b-5p",-0.826869359391365,7.29121344981863,13.5752654089626,0.000229185580533711,0.00107749392004922
"hsa-miR-574-3p",1.25316471614256,4.78816223938612,13.5749964078791,0.000229218427091217,0.00107749392004922
"hsa-miR-1285-5p",1.55880805797495,4.1141009850286,13.4580704721926,0.000243954519246676,0.00113845442315116
"hsa-miR-589-5p",0.854442397970253,6.94023488769661,13.300472806184,0.000265339197545965,0.00122934131812663
"hsa-miR-584-5p",0.82693030552558,6.97366833992562,13.1512821708958,0.00028732256480622,0.00132168379810861
"hsa-miR-548o-3p",-0.750490360526352,7.46894204183429,13.1083390439442,0.000293984219399793,0.00134273643470544
"hsa-miR-1226-3p",-1.57337803673711,4.46025595520363,13.057526094926,0.000302068155552098,0.00136994290264473
"hsa-miR-4721",4.72280165549865,1.81761388146776,12.9937884601725,0.000312525999835403,0.00140745974751048
"hsa-miR-3648",-5.28278692223674,2.59718532506594,12.8332904253826,0.000340506427498731,0.00152282041186932
"hsa-miR-6807-5p",4.70908166632312,1.81670874871069,12.6760401182663,0.000370371125296452,0.00164495865304079
"hsa-miR-301a-5p",-1.14684134732258,5.30181864987182,12.6470363731512,0.000376161508310647,0.00165923295446614
"hsa-miR-21-5p",-0.528986507378444,18.5454316117366,12.6218307259187,0.000381267746021299,0.00167031583971236
"hsa-miR-1307-3p",0.553208899066892,12.200015229042,12.5418146358332,0.000397945656861657,0.00173160137174937
"hsa-miR-143-3p",-1.16305584433589,5.76527333486635,12.496296803558,0.000407759485980867,0.00176239670450791
"hsa-miR-374c-3p",-0.723384858331971,7.24141889763988,12.4762220519439,0.000412164927443285,0.00176956142182317
"hsa-miR-181a-3p",-0.66821071916861,7.81893167182423,12.3419786891623,0.000442885342732679,0.00188886199152216
"hsa-miR-25-5p",-0.679287826506866,7.52628626632281,12.2476038790213,0.00046585598914621,0.00197375826980368
"hsa-miR-877-5p",-0.791109584437572,6.84281316424698,12.1718673908416,0.000485157104868585,0.00204209918650568
"hsa-miR-4502",-3.28154993883149,2.88437810472022,12.1392745088217,0.000493709783411697,0.00206460454881255
"hsa-miR-132-3p",0.692973365277886,6.8808188755006,12.1121702175082,0.000500937998975668,0.00208131658929245
"hsa-miR-1291",-2.48608293002425,3.37294981303798,12.0401824487186,0.000520658751928065,0.00214938612975432
"hsa-miR-652-5p",-3.4467480647496,3.0164211992001,11.8537404756999,0.000575456432305105,0.00236047097072922
"hsa-miR-32-3p",-1.23571155172123,5.01324648041405,11.7846541223976,0.000597209873568302,0.00243419720618979
"hsa-miR-27b-3p",-0.525834575995324,10.1720496805373,11.6941402313739,0.000626972337265922,0.00253377752935217
"hsa-miR-9-5p",-0.577686217471378,10.2324759538718,11.6866246461965,0.000629509945180662,0.00253377752935217
"hsa-miR-3074-5p",0.521789236145692,10.0398706874466,11.6628583166982,0.000637603022530336,0.00255041209012134
"hsa-miR-592",-1.69665858916883,4.15991535567338,11.5876128347644,0.00066392583990556,0.00263931012900729
"hsa-miR-30c-5p",-0.479934985224804,12.2871339341523,11.395168200351,0.000736353812234808,0.00290927518453507
"hsa-miR-30d-3p",-1.001348862448,5.54252303852995,11.3625210527404,0.000749410327777197,0.00292668513447798
"hsa-miR-185-3p",-1.08677914903395,5.2433856984308,11.3614330589912,0.000749849452156625,0.00292668513447798
"hsa-miR-6727-5p",4.47846014976533,1.73194475134466,11.3397170932042,0.000758668806251776,0.0029432693447358
"hsa-miR-3167",-1.61537534022031,4.09018895093032,11.2784504502431,0.000784119784686409,0.00302379126549729
"hsa-miR-193b-3p",2.46088272350735,2.40946470187679,11.2562618250406,0.000793548593430317,0.00304193627481622
"hsa-miR-361-5p",-0.640804501664008,7.58187860390622,11.1079635616585,0.000859578236037174,0.00327555256809432
"hsa-miR-4301",3.40014724998054,1.97565874121888,11.0546131937049,0.000884668005661089,0.00335133056262201
"hsa-miR-140-3p",-0.580025213695243,9.07679747521422,10.9678159888544,0.000927079584421518,0.00349145761618396
"hsa-miR-296-5p",1.39707078756728,4.35931073849869,10.8750316146495,0.00097469365261218,0.00364943437373398
"hsa-miR-641",-0.877526909001537,5.85668087106835,10.8026944652106,0.00101352469350436,0.00377288961050179
"hsa-miR-1910-3p",2.80852061063184,2.35741818096406,10.6530042214388,0.00109892260396974,0.00406727676411788
"hsa-miR-374a-5p",-0.658183605555884,7.10136706577587,10.5724298902453,0.00114786744716405,0.00422415220556369
"hsa-miR-494-3p",-2.53005938839261,3.4234564275985,10.4598881730002,0.00121994663083217,0.00446389562645407
"hsa-miR-642a-3p",2.8563229353196,2.11266244511565,10.1541458434045,0.00143977088778514,0.00520916789337348
"hsa-miR-5581-3p",2.85631722848113,2.10781306802814,10.1541072056239,0.0014398010636964,0.00520916789337348
"hsa-miR-181b-2-3p",-1.84007144253144,3.81885490725283,10.0608325084567,0.00151454772437592,0.00544898734356476
"hsa-miR-105-5p",0.566088889790646,8.21898790826025,10.0111134614213,0.00155598422014963,0.00556696576542422
"hsa-miR-9903",-0.988793134273667,5.14229134122608,9.9735169642122,0.00158807856943712,0.00565040109788676
"hsa-miR-3199",-4.95387094682308,2.40851430073953,9.91128222794478,0.0016426863152819,0.0057857189304519
"hsa-miR-483-5p",1.46089446911806,4.61661327300305,9.90972311379944,0.00164407851595139,0.0057857189304519
"hsa-miR-548t-3p",-2.52513945690421,2.98972215497826,9.78104885751889,0.00176319706347767,0.00617118972217184
"hsa-miR-625-3p",0.631616369555957,8.48889457100707,9.7302153123249,0.00181263252831007,0.00630992080125234
"hsa-miR-1301-3p",0.498776154764937,8.61454653903783,9.6927277466219,0.00184998706944648,0.00640533157378244
"hsa-miR-616-5p",2.06343074864065,2.69945550944452,9.48637967908769,0.0020700288772483,0.0071288695023952
"hsa-miR-454-5p",-0.999868010370356,5.09629418898984,9.32006110559257,0.00226658434868445,0.00776425702421696
"hsa-miR-199b-3p",-1.00490754706305,5.94180721912377,9.20709557159081,0.00241078870132051,0.00821453927857358
"hsa-miR-6893-5p",4.18375482526348,1.64384829581353,9.10401034158397,0.0025504967577174,0.0086448416419474
"hsa-miR-339-5p",0.814137576493936,6.42802278744384,9.02280410910823,0.00266632042539558,0.00899010656520815
"hsa-miR-6858-5p",3.1854752294052,1.89364349113714,9.00809446099336,0.00268786510083672,0.00901554752572316
"hsa-miR-125a-5p",-3.24532998102579,2.85065269310752,8.92201063196201,0.00281754153220897,0.00936246528297429
"hsa-miR-10a-5p",0.648463426550713,11.3550811653392,8.92017815867129,0.00282036997654815,0.00936246528297429
"hsa-miR-24-2-5p",-0.510523737135343,8.23473783403772,8.75545043914708,0.00308678123117399,0.0101942928865438
"hsa-miR-199a-3p",-0.836649430676381,6.03689471410276,8.7237090011551,0.00314098400925454,0.0103203760304078
